Search Gene	Found FBGN	Found Gene	embryo 00-02hr	embryo 02-04hr	embryo 04-06hr	embryo 06-08hr	embryo 08-10hr	embryo 10-12hr	embryo 12-14hr	embryo 14-16hr	embryo 16-18hr	embryo 18-20hr	embryo 20-22hr	embryo 22-24hr	larva L1	larva L2	larva L3 12hr old	larva L3 puffstage 1-2	larva L3 puffstage 3-6	larva L3 puffstage 7-9	white prepupae new	white prepupae 12hr	white prepupae 24hr	pupae 2d postWPP	pupae 3d postWPP	pupae 4d postWPP	adult male 01day	adult male 05day	adult male 30day	adult female 01day	adult female 05day	adult female 30day
FBgn0034861	FBgn0034861	CG9815	0	0	0	0	0	1	2	2	4	7	7	4	5	3	4	1	2	3	69	14	2	22	44	11	4	5	6	5	3	4
FBgn0034863	FBgn0034863	SkpF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	6	7	12	18	19	22	23	41	50	56	0	0	0
FBgn0034865	FBgn0034865	Or59b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	3	0	0	0
FBgn0034866	FBgn0034866	Or59c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
FBgn0034867	FBgn0034867	CG13557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	29	33	29	0	0	0
FBgn0034869	FBgn0034869	CG13558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	1	1	1	1	3	2	0	0	0
FBgn0034870	FBgn0034870	CG13559	0	0	0	0	1	2	3	4	6	4	2	2	1	1	1	1	1	0	0	1	2	2	1	3	3	4	5	1	0	1
FBgn0034871	FBgn0034871	CG3906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	60	344	583	1231	388	220	287
FBgn0034876	FBgn0034876	wmd	90	100	69	82	75	77	42	38	26	27	27	23	25	24	24	22	33	75	98	124	47	50	28	434	52	43	45	56	53	56
FBgn0034877	FBgn0034877	levy	229	230	206	232	232	362	275	366	380	539	627	519	786	743	740	482	260	233	198	165	184	362	839	1306	1166	982	498	1008	408	345
FBgn0034878	FBgn0034878	pita	77	80	65	67	54	31	27	30	23	16	40	27	11	11	10	12	17	16	14	22	23	14	9	12	14	21	23	22	33	36
FBgn0034879	FBgn0034879	Rrp4	35	34	71	66	52	45	22	18	14	15	26	18	43	24	20	10	14	14	12	14	16	10	6	12	10	13	15	40	42	45
FBgn0034880	FBgn0034880	ItgaPS5	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FBgn0034883	FBgn0034883	CG17664	0	0	1	3	2	1	1	7	28	34	23	21	23	16	17	12	3	1	0	14	3	3	2	11	17	18	21	12	5	5
FBgn0034884	FBgn0034884	CG17662	0	0	0	0	0	0	0	0	0	1	8	6	14	5	4	9	5	1	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0034885	FBgn0034885	CG4019	0	0	1	7	10	13	15	65	88	171	237	195	194	188	257	127	43	57	115	47	16	22	57	88	104	95	78	57	42	54
FBgn0034887	FBgn0034887	St1	0	0	0	1	1	7	20	158	27	5	1	1	1	40	13	2	1	1	1	9	8	17	21	8	15	12	13	8	5	5
FBgn0034893	FBgn0034893	mRpL43	30	11	24	32	29	39	36	33	32	32	33	31	44	53	33	14	14	15	14	13	18	31	31	12	19	21	18	22	31	34
FBgn0034894	FBgn0034894	sigmar	53	30	19	16	22	21	31	18	17	14	18	21	7	8	6	14	33	55	88	131	52	38	14	14	9	10	10	13	29	29
FBgn0034897	FBgn0034897	Sesn	32	6	6	21	22	28	45	45	36	30	18	21	13	16	14	11	24	50	87	155	124	132	58	46	37	20	22	39	25	27
FBgn0034898	FBgn0034898	CG18128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	5	8	9	8	11	17	22	25	0	0	0
FBgn0034899	FBgn0034899	CG13560	0	0	0	0	0	0	0	0	0	1	5	7	396	294	1020	486	110	18	2	1	0	0	0	0	0	0	0	0	0	0
FBgn0034900	FBgn0034900	CG12491	0	0	0	0	0	0	0	0	0	0	3	15	30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
