Search Gene	Found FBGN	Found Gene	imaginal disc, larvae L3 wandering	central nervous system, larvae L3	central nervous system, pupae P8	head, virgin 1-day female	head, virgin 4-day female	head, virgin 20-day female	head, mated 1-day female	head, mated 4-day female	head, mated 20-day female	head, mated 1-day male	head, mated 4-day male	head, mated 20-day male	salivary gland, larvae L3 wandering	salivary gland, white prepupae	digestive system, larvae L3 wandering	digestive system, 1-day adult	digestive system, 4-day adult	digestive system, 20-day adult	fat body, larvae L3 wandering	fat body, white prepupae	fat body, pupae P8	carcass, larvae L3 wandering	carcass, 1-day adult	carcass, 4-day adult	carcass, 20-day adult	ovary, virgin 4-day female	ovary, mated 4-day female	testis, mated 4-day male	accessory gland, mated 4-day male
FBgn0029114	FBgn0029114	Tollo	21	6	3	3	2	2	2	2	1	2	2	2	0	6	2	0	1	0	1	4	4	15	2	2	1	9	6	2	2
FBgn0029117	FBgn0029117	Surf1	20	15	13	13	14	11	12	8	9	12	14	15	6	1	14	16	13	9	7	6	16	12	16	18	21	41	35	56	24
FBgn0029118	FBgn0029118	Sucb	29	17	16	7	3	5	5	4	5	7	8	11	8	17	39	29	18	20	71	56	40	19	5	6	7	18	14	63	12
FBgn0029123	FBgn0029123	SoxN	13	107	39	14	17	8	13	14	9	23	26	20	37	477	1	0	0	0	0	9	24	16	1	1	1	0	0	0	4
FBgn0029131	FBgn0029131	Debcl	14	4	2	7	7	11	5	6	7	8	9	11	2	5	5	7	7	9	4	4	8	7	6	8	9	44	35	8	13
FBgn0029133	FBgn0029133	REG	65	53	25	17	16	19	14	21	17	14	22	26	6	6	23	22	24	20	5	14	24	39	14	26	19	106	82	71	43
FBgn0029134	FBgn0029134	Prosbeta5	79	78	32	24	19	34	25	24	27	31	39	68	40	37	155	66	50	53	21	60	35	169	45	52	56	123	93	92	66
FBgn0029137	FBgn0029137	Patsas	0	1	4	2	2	2	3	3	2	4	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
FBgn0029147	FBgn0029147	NtR	1	2	0	6	7	16	6	11	11	6	14	22	1	7	1	3	1	0	1	14	6	2	7	5	4	0	0	1	0
FBgn0029148	FBgn0029148	NHP2	30	21	7	6	9	9	6	18	6	2	9	11	1	3	10	12	21	14	1	4	18	21	6	16	7	41	32	11	18
FBgn0029152	FBgn0029152	Mkrn1	37	18	22	11	8	9	8	7	7	13	12	15	6	14	15	11	9	10	2	10	13	18	9	10	10	77	45	85	16
FBgn0029153	FBgn0029153	Menl-2	37	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	9	15	0	0	0	1	0	0	107	26
