Search Gene	Found FBGN	Found Gene	extended cold, 4-day adult	cold shock, 4-day adult	heat shock, 4-day adult	Cadmium 50 mM 6 hrs, larvae L3	Cadmium 50 mM 12 hrs, larvae L3	Cadmium 50 mM 48 hrs, 4-day adult	Cadmium 100 mM 48 hrs, 4-day adult	Copper 0.5 mM 12 hrs, larvae L3	Copper 15 mM 48 hrs, 4-day adult	Zinc 5 mM 12 hrs, larvae L3	Zinc 4.5 mM 48 hrs, 4-day adult	Ethanol 2.5% 3 hrs, larvae L3	Ethanol 5% 3 hrs, larvae L3	Ethanol 10% 3 hrs, larvae L3	Caffeine 1.5 mg/ml 4 hrs, larvae L3	Caffeine 2.5 mg/ml 48 hrs, 4-day adult	Caffeine 25 mg/ml 48 hrs, 4-day adult	Paraquat 5 mM 48 hrs, 4-day adult	Paraquat 10 mM 48 hrs, 4-day adult	Rotenone 2 µg 12 hrs, larvae L3	Rotenone 8 µg 12 hrs, larvae L3	Rotenone starved, 10-day adult	Sindbis virus, larval stage	Sindbis virus, pupal stage	Sindbis virus, 4-day adult male	Sindbis virus, 4-day adult female	Resveratrol 100uM, 10-day adult
FBgn0052079	FBgn0052079	CG32079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
FBgn0052081	FBgn0052081	CG32081	3	5	10	3	9	8	19	0	17	0	27	20	3	3	4	7	4	29	33	4	2	8	69	37	3	0	7
FBgn0052082	FBgn0052082	CG32082	5	4	3	3	3	4	4	5	3	4	7	4	3	3	6	3	4	7	8	3	3	9	16	17	8	13	14
FBgn0052085	FBgn0052085	CG32085	11	8	5	2	2	5	6	3	4	4	9	9	1	3	1	4	7	8	13	3	3	8	8	5	0	3	9
FBgn0052086	FBgn0052086	CG32086	1	0	1	1	2	1	2	1	2	0	6	4	0	0	0	2	1	4	4	0	0	3	10	6	0	0	1
FBgn0052087	FBgn0052087	CG32087	0	0	1	1	1	2	1	3	1	0	5	2	0	0	1	0	0	4	4	1	1	6	11	10	1	0	1
FBgn0052088	FBgn0052088	sunn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
FBgn0052091	FBgn0052091	CG32091	2	1	3	4	5	2	1	1	2	1	1	2	5	4	4	1	1	2	8	3	2	7	13	27	8	17	7
FBgn0052095	FBgn0052095	CG32095	4	4	6	3	4	9	12	1	8	2	3	14	2	3	2	14	6	10	9	2	3	9	4	8	3	9	11
FBgn0052099	FBgn0052099	CG32099	2	2	3	2	7	4	5	2	2	0	4	3	5	4	5	6	1	4	5	5	2	7	5	9	9	7	4
FBgn0052100	FBgn0052100	CG32100	24	17	14	7	18	21	36	12	19	15	13	27	7	8	7	36	18	26	22	7	7	8	5	10	4	9	8
FBgn0052103	FBgn0052103	CG32103	12	11	26	12	21	32	48	12	48	10	35	35	18	11	12	39	17	31	29	20	15	19	33	22	24	39	34
FBgn0052104	FBgn0052104	CG32104	1	1	2	1	1	2	2	0	2	1	1	4	2	1	1	3	1	2	2	2	1	5	2	4	2	4	3
FBgn0052105	FBgn0052105	CG32105	3	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	1	7	2	3	1	1	2
FBgn0052106	FBgn0052106	CG32106	1	1	1	1	1	2	6	0	17	0	19	3	1	0	1	2	1	5	4	1	0	1	2	1	0	0	0
FBgn0052107	FBgn0052107	CG32107	0	0	0	1	2	1	0	0	1	0	2	0	2	1	2	1	0	1	1	2	1	1	1	1	11	2	1
FBgn0052109	FBgn0052109	CG32109	1	0	3	3	7	4	5	2	1	1	3	3	5	2	3	4	1	3	2	5	1	2	2	8	5	5	2
FBgn0052110	FBgn0052110	CG32110	0	1	2	3	5	2	2	0	4	0	7	3	2	1	3	1	0	4	5	2	1	3	3	5	1	1	1
FBgn0052112	FBgn0052112	CG32112	6	3	8	3	6	9	14	2	21	4	19	11	6	3	5	12	4	14	14	6	2	7	10	6	6	7	9
FBgn0052113	FBgn0052113	CG32113	1	1	2	1	1	2	4	1	2	0	2	4	1	1	2	3	1	2	4	1	1	4	4	3	3	5	4
FBgn0052115	FBgn0052115	CG32115	0	1	1	3	19	2	4	1	3	1	3	1	8	2	4	2	1	2	1	7	2	2	1	4	4	1	0
